namecode,newname,impute,include,class,sotc08,sotc09,sotc10,sotc08_index,sotc09_index,sotc10_index
Part1-1-109,Q5R,N,N,factor,Q5R,Q5R,Q5R,92,139,165
Part1-1-110,Q10R,N,N,factor,Q10R,Q10R,Q10R,115,140,166
Part1-1-111,Q14R,N,N,factor,Q14R,Q14R,Q14R,117,141,168
Part1-1-112,Q22AR,N,N,factor,Q22AR,Q22AR,Q22AR,128,143,169
Part1-1-113,Q22BR,N,N,factor,Q22BR,Q22BR,Q22BR,129,144,170
Part1-1-114,Q22CR,N,N,factor,Q22CR,Q22CR,Q22CR,130,145,171
Part1-1-115,Q22DR,N,N,factor,Q22DR,Q22DR,Q22DR,131,146,172
Part1-1-116,Q23R,N,N,factor,Q23R,Q23R,Q23R,132,147,179
Part1-1-117,Q24R,N,N,factor,Q24R,Q24R,Q24R,133,148,180
Part1-1-118,Q25R,N,N,factor,Q25R,Q25R,Q25R,134,149,182
Part1-1-119,Q26R,N,N,factor,Q26R,Q26R,Q26R,135,150,183
Part1-1-120,LOYALTY,N,N,numeric,LOYALTY,LOYALTY,LOYALTY,136,151,184
Part1-1-121,LOYALTY_,N,N,integer,LOYALTY_,LOYALTY_,LOYALTY_,137,152,185
Part1-1-122,PASSION,N,N,numeric,PASSION,PASSION,PASSION,138,153,186
Part1-1-123,PASSION_,N,N,integer,PASSION_,PASSION_,PASSION_,139,154,187
Part1-1-124,BASIC_SE,Y,Y,numeric,BASIC_SE,BASIC_SE,BASIC_SE,143,158,191
Part1-1-125,LEADERSH,Y,Y,numeric,LEADERSH,LEADERSH,LEADERSH,144,159,192
Part1-1-126,EDUCATIO,Y,Y,numeric,EDUCATIO,EDUCATIO,EDUCATIO,145,160,193
Part1-1-127,SAFETY,Y,Y,numeric,SAFETY,SAFETY,SAFETY,146,161,194
Part1-1-128,AESTHETI,Y,Y,numeric,AESTHETI,AESTHETI,AESTHETI,147,162,195
Part1-1-129,ECONOMY,Y,Y,numeric,ECONOMY,ECONOMY,ECONOMY,148,163,196
Part1-1-130,SOCIAL_O,Y,Y,numeric,SOCIAL_O,SOCIAL_O,SOCIAL_O,149,164,197
Part1-1-131,COMMUNIT,Y,N,numeric,COMMUNIT,COMMUNIT,COMMUNIT,150,166,198
Part1-1-132,INVOLVEM,Y,Y,numeric,INVOLVEM,INVOLVEM,INVOLVEM,151,167,199
Part1-1-133,OPENNESS,Y,Y,numeric,OPENNESS,OPENNESS,OPENNESS,152,168,200
Part1-1-134,SOCIAL_C,Y,Y,numeric,SOCIAL_C,SOCIAL_C,SOCIAL_C,153,169,201
Part1-1-135,DOMAINS,Y,N,numeric,DOMAINS,DOMAINS,DOMAINS,154,170,202
Part1-1-136,WEIGHT,Y,N,numeric,WEIGHT,WEIGHT,WEIGHT,83,93,203
Part1-1-137,PROJWT,Y,N,numeric,PROJWT,PROJWT,PROJWT,84,94,204
Part1-1-138,YEAR,N,N,integer,YEAR,YEAR,YEAR,156,172,206
Part2-1-001,CASE,N,N,integer,CASE,CASE,CASEID,1,1,1
Part2-1-002,QCE1R,N,N,factor,QCE1R,QCE1R,Q1R,87,100,129
Part2-1-003,QCE2R,N,N,factor,QCE2R,QCE2R,Q2R,88,101,130
Part2-1-004,Q16AR,N,N,factor,Q16AR,Q16AR,NA,121,130,NA
Part2-1-005,Q16BR,N,N,factor,Q16BR,Q16BR,NA,122,131,NA
Part2-1-006,Q16DR,N,N,factor,Q16DR,Q16DR,NA,124,132,NA
Part2-1-007,Q17R,N,N,factor,Q17R,Q17R,NA,125,133,NA
Part2-1-008,Q16CR,N,N,factor,Q16CR,Q16CR,NA,123,142,NA
Part2-2-001,Q4_1,N,N,factor,Q4_1,NA,Q4_1,14,NA,18
Part2-2-002,Q4_2,N,N,factor,Q4_2,NA,Q4_2,15,NA,19
Part2-2-003,Q4_3,N,N,factor,Q4_3,NA,Q4_3,16,NA,20
Part2-2-004,Q7J,N,N,factor,Q7J,NA,Q7J,29,NA,33
Part2-2-005,Q12,N,N,integer,Q12,NA,Q12,42,NA,51
Part2-2-006,QD3,N,N,factor,QD3,NA,QD3,67,NA,95
Part2-3-001,QD2A,N,N,factor,NA,QD2A,QD2A,NA,73,94
Part2-3-002,THRIVING,N,N,numeric,NA,THRIVING,THRIVING,NA,90,118
Part2-3-003,STRUGGLI,N,N,numeric,NA,STRUGGLI,STRUGGLI,NA,91,119
Part2-3-004,SUFFERIN,N,N,numeric,NA,SUFFERIN,SUFFERIN,NA,92,120
Part2-3-005,QD111R,N,N,integer,NA,QD111R,QD111R,NA,95,123
Part2-3-006,QD112R,N,N,integer,NA,QD112R,QD112R,NA,96,124
Part2-3-007,QD113R,N,N,integer,NA,QD113R,QD113R,NA,97,125
Part3-1-001,Q7JR,N,N,factor,Q7JR,NA,NA,104,NA,NA
Part3-1-002,CCE,Y,N,numeric,CCE,CA,CCA,140,155,188
Part3-1-003,CCEGRP,Y,N,factor,CCEGRP,CAGRP,CCAGRP,141,156,189
Part3-1-004,CCE_ENGA,Y,N,factor,CCE_ENGA,CA_ATTAC,CCA_ATTA,142,157,190
Part3-2-001,Q1A,N,N,factor,NA,Q1A,NA,NA,9,NA
Part3-2-002,Q1B,N,N,factor,NA,Q1B,NA,NA,10,NA
Part3-2-003,Q4_1_1,N,N,factor,NA,Q4_1_1,NA,NA,16,NA
Part3-2-004,Q4_1_2,N,N,factor,NA,Q4_1_2,NA,NA,17,NA
Part3-2-005,Q4_1_3,N,N,factor,NA,Q4_1_3,NA,NA,18,NA
Part3-2-006,Q4_2_1,N,N,factor,NA,Q4_2_1,NA,NA,19,NA
Part3-2-007,Q4_2_2,N,N,factor,NA,Q4_2_2,NA,NA,20,NA
Part3-2-008,Q4_2_3,N,N,factor,NA,Q4_2_3,NA,NA,21,NA
Part3-2-009,Q4_3_1,N,N,factor,NA,Q4_3_1,NA,NA,22,NA
Part3-2-010,Q4_3_2,N,N,factor,NA,Q4_3_2,NA,NA,23,NA
Part3-2-011,Q4_3_3,N,N,factor,NA,Q4_3_3,NA,NA,24,NA
Part3-2-012,LEI_INDE,N,N,numeric,NA,LEI_INDE,NA,NA,89,NA
Part3-2-013,Q28R,N,N,integer,NA,Q28R,NA,NA,136,NA
Part3-2-014,Q29R,N,N,integer,NA,Q29R,NA,NA,137,NA
Part3-2-015,Q30R,N,N,integer,NA,Q30R,NA,NA,138,NA
Part3-2-019,EMOTIONA,N,N,numeric,NA,EMOTIONA,NA,NA,165,NA
Part3-3-002,QN1A,N,N,factor,NA,NA,QN1A,NA,NA,11
Part3-3-003,QN1B,N,N,factor,NA,NA,QN1B,NA,NA,12
Part3-3-004,Q7N,N,N,factor,NA,NA,Q7N,NA,NA,37
Part3-3-005,Q7O,N,N,factor,NA,NA,Q7O,NA,NA,38
Part3-3-006,Q7P,N,N,factor,NA,NA,Q7P,NA,NA,39
Part3-3-007,Q8G,N,N,factor,NA,NA,Q8G,NA,NA,46
Part3-3-008,Q10A,N,N,factor,NA,NA,Q10A,NA,NA,49
Part3-3-009,Q22E,N,N,factor,NA,NA,Q22E,NA,NA,70
Part3-3-010,Q22F,N,N,factor,NA,NA,Q22F,NA,NA,71
Part3-3-011,Q22G,N,N,factor,NA,NA,Q22G,NA,NA,72
Part3-3-012,Q22H,N,N,factor,NA,NA,Q22H,NA,NA,73
Part3-3-013,Q22I,N,N,factor,NA,NA,Q22I,NA,NA,74
Part3-3-014,Q22_A,N,N,factor,NA,NA,Q22_A,NA,NA,75
Part3-3-015,Q24A,N,N,factor,NA,NA,Q24A,NA,NA,78
Part3-3-016,Q27,N,N,NA,NA,NA,Q27,NA,NA,81
Part3-3-017,Q28,N,N,NA,NA,NA,Q28,NA,NA,82
Part3-3-018,Q29,N,N,NA,NA,NA,Q29,NA,NA,83
Part3-3-019,Q30,N,N,NA,NA,NA,Q30,NA,NA,84
Part3-3-020,Q31A,N,N,NA,NA,NA,Q31A,NA,NA,85
Part3-3-021,Q31B,N,N,NA,NA,NA,Q31B,NA,NA,86
Part3-3-022,Q31C,N,N,NA,NA,NA,Q31C,NA,NA,87
Part3-3-023,Q31D,N,N,NA,NA,NA,Q31D,NA,NA,88
Part3-3-024,Q31E,N,N,NA,NA,NA,Q31E,NA,NA,89
